2022-05-31 17:04:32 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-05-31 17:04:33 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-05-31 17:04:35 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-05-31 17:04:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-05-31 17:04:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-05-31 17:04:36 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-05-31 17:04:36 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-05-31 17:04:36 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-05-31 17:04:36 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2665 ms
2022-05-31 17:04:37 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-05-31 17:04:40 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-05-31 17:04:40 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-05-31 17:04:40 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5960f17, org.springframework.security.web.context.SecurityContextPersistenceFilter@1b632442, org.springframework.security.web.header.HeaderWriterFilter@35a9e665, org.springframework.security.web.csrf.CsrfFilter@5a2035e1, org.springframework.security.web.authentication.logout.LogoutFilter@71beada8, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@56f72909, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@9cc0505, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@1d1b3620, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6e67a8c0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f75a9b1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@50f05307, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@71e7c13f, org.springframework.security.web.session.SessionManagementFilter@2dde0a34, org.springframework.security.web.access.ExceptionTranslationFilter@647ff23e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@19924f15]
2022-05-31 17:04:41 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-05-31 17:04:41 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-05-31 17:04:41 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-05-31 17:04:41 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 11.658 seconds (JVM running for 14.075)
2022-05-31 17:04:59 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-05-31 17:04:59 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-05-31 17:04:59 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 11 ms
2022-05-31 17:05:00 [http-nio-8888-exec-1] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [205] milliseconds.
2022-05-31 17:05:01 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client-elastic_query.yml
2022-05-31 17:05:01 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client.yml
2022-05-31 17:05:34 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client-elastic_query_web.yml
2022-05-31 17:05:34 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client.yml
2022-05-31 22:21:31 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.MultipleJGitEnvironmentRepository - Fetched for remote main and found 1 updates
2022-05-31 22:21:32 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client-elastic_query_web.yml
2022-05-31 22:21:32 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client.yml
2022-05-31 22:23:07 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client-elastic_query_web.yml
2022-05-31 22:23:07 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/91982/AppData/Local/Temp/config-repo-4365278617680488178/config-client.yml
